user_guid,last_5_days_recommend,last_5_days_bought,recommends,bought
500,"[[182, 103, 36], [126, 104, 75], [49, 188, 111], [194, 130, 168], [21, 142, 35]]","[[53, 87, 86, 22], [136, 134, 21, 95], [203, 209, 150, 72], [96, 80, 10, 212], [52, 200, 199, 26]]","[96, 10, 222]","[203, 191, 98]"
501,"[[97, 91, 166], [85, 130, 20], [65, 217, 163], [19, 176, 222], [178, 19, 169]]","[[45], [118], [207], [138], [222]]","[211, 83, 2]","[31, 117, 184]"
502,"[[108, 55, 45], [161, 94, 173], [35, 174, 132], [65, 197, 37], [67, 184, 66]]","[[70, 95, 16, 223, 195], [217, 211, 180, 221, 12], [124, 82, 175, 171, 53], [221, 85, 97, 19, 186], [126, 141, 25, 42, 122]]","[220, 53, 179]",[131]
503,"[[122, 2, 0], [12, 45, 107], [162, 101, 100], [74, 11, 179], [16, 212, 65]]","[[212, 70], [84, 145], [196, 90], [202, 167], [87, 219]]","[218, 5, 188]",[205]
504,"[[182, 52, 195], [150, 54, 96], [168, 102, 4], [203, 146, 111], [61, 88, 210]]","[[90, 39, 4], [40, 119, 149], [125, 179, 208], [212, 90, 43], [176, 200, 98]]","[67, 35, 174]","[52, 69, 21, 14, 2]"
505,"[[26, 135, 96], [46, 11, 14], [21, 92, 17], [193, 78, 150], [77, 133, 7]]","[[159, 52], [111, 105], [74, 148], [212, 73], [160, 174]]","[82, 219, 63]","[219, 51]"
506,"[[137, 218, 190], [93, 161, 68], [164, 55, 150], [131, 49, 206], [134, 8, 128]]","[[73, 112, 148], [2, 97, 101], [105, 6, 129], [216, 207, 45], [167, 23, 196]]","[9, 120, 67]",[190]
507,"[[215, 140, 175], [89, 165, 221], [143, 183, 214], [138, 107, 111], [110, 72, 45]]","[[105, 199, 175, 85, 32], [7, 179, 47, 217, 161], [114, 175, 108, 152, 109], [68, 146, 135, 218, 0], [156, 52, 4, 46, 72]]","[55, 65, 46]","[141, 66, 207, 80, 139]"
508,"[[102, 65, 9], [203, 87, 159], [108, 29, 1], [91, 173, 153], [46, 5, 49]]","[[101, 90, 49, 108], [16, 45, 38, 196], [166, 99, 177, 37], [99, 148, 59, 160], [196, 16, 222, 144]]","[118, 161, 11]","[32, 195, 65]"
509,"[[126, 194, 161], [58, 194, 220], [43, 19, 26], [155, 33, 115], [16, 41, 126]]","[[99], [10], [203], [87], [45]]","[131, 105, 106]",[]
